snapshot_id,date,product_id,quantity_on_hand,quantity_reserved,quantity_available,reorder_needed
SNAP-00001,2023-07-01,PROD-001,33,12,21,False
SNAP-00002,2023-07-01,PROD-002,28,9,19,False
SNAP-00003,2023-07-01,PROD-003,19,0,19,False
SNAP-00004,2023-07-01,PROD-004,25,0,25,False
SNAP-00005,2023-07-01,PROD-005,15,4,11,False
SNAP-00006,2023-07-01,PROD-006,18,4,14,False
SNAP-00007,2023-07-01,PROD-007,21,5,16,False
SNAP-00008,2023-07-01,PROD-008,21,1,20,False
SNAP-00009,2023-07-01,PROD-009,20,0,20,False
SNAP-00010,2023-07-01,PROD-010,26,4,22,False
SNAP-00011,2023-07-01,PROD-011,24,7,17,False
SNAP-00012,2023-07-01,PROD-012,39,3,36,False
SNAP-00013,2023-07-01,PROD-013,71,21,50,False
SNAP-00014,2023-07-01,PROD-014,61,13,48,False
SNAP-00015,2023-07-01,PROD-015,54,17,37,False
SNAP-00016,2023-07-01,PROD-016,67,2,65,False
SNAP-00017,2023-07-01,PROD-017,8,1,7,False
SNAP-00018,2023-07-01,PROD-018,13,2,11,False
SNAP-00019,2023-08-01,PROD-001,20,6,14,False
SNAP-00020,2023-08-01,PROD-002,14,3,11,False
SNAP-00021,2023-08-01,PROD-003,31,4,27,False
SNAP-00022,2023-08-01,PROD-004,23,6,17,False
SNAP-00023,2023-08-01,PROD-005,20,6,14,False
SNAP-00024,2023-08-01,PROD-006,16,3,13,False
SNAP-00025,2023-08-01,PROD-007,17,2,15,False
SNAP-00026,2023-08-01,PROD-008,18,0,18,False
SNAP-00027,2023-08-01,PROD-009,40,12,28,False
SNAP-00028,2023-08-01,PROD-010,38,4,34,False
SNAP-00029,2023-08-01,PROD-011,29,11,18,False
SNAP-00030,2023-08-01,PROD-012,22,0,22,False
SNAP-00031,2023-08-01,PROD-013,73,4,69,False
SNAP-00032,2023-08-01,PROD-014,55,11,44,False
SNAP-00033,2023-08-01,PROD-015,50,5,45,False
SNAP-00034,2023-08-01,PROD-016,68,10,58,False
SNAP-00035,2023-08-01,PROD-017,7,2,5,False
SNAP-00036,2023-08-01,PROD-018,12,2,10,False
SNAP-00037,2023-09-01,PROD-001,32,3,29,False
SNAP-00038,2023-09-01,PROD-002,18,2,16,False
SNAP-00039,2023-09-01,PROD-003,15,2,13,False
SNAP-00040,2023-09-01,PROD-004,16,1,15,False
SNAP-00041,2023-09-01,PROD-005,16,4,12,False
SNAP-00042,2023-09-01,PROD-006,23,1,22,False
SNAP-00043,2023-09-01,PROD-007,21,4,17,False
SNAP-00044,2023-09-01,PROD-008,21,4,17,False
SNAP-00045,2023-09-01,PROD-009,29,3,26,False
SNAP-00046,2023-09-01,PROD-010,21,8,13,False
SNAP-00047,2023-09-01,PROD-011,32,1,31,False
SNAP-00048,2023-09-01,PROD-012,32,7,25,False
SNAP-00049,2023-09-01,PROD-013,69,18,51,False
SNAP-00050,2023-09-01,PROD-014,33,0,33,False
SNAP-00051,2023-09-01,PROD-015,52,14,38,False
SNAP-00052,2023-09-01,PROD-016,82,30,52,False
SNAP-00053,2023-09-01,PROD-017,19,4,15,False
SNAP-00054,2023-09-01,PROD-018,14,1,13,False
SNAP-00055,2023-10-01,PROD-001,24,2,22,False
SNAP-00056,2023-10-01,PROD-002,28,6,22,False
SNAP-00057,2023-10-01,PROD-003,26,9,17,False
SNAP-00058,2023-10-01,PROD-004,23,7,16,False
SNAP-00059,2023-10-01,PROD-005,12,3,9,False
SNAP-00060,2023-10-01,PROD-006,3,0,3,True
SNAP-00061,2023-10-01,PROD-007,9,0,9,False
SNAP-00062,2023-10-01,PROD-008,9,2,7,False
SNAP-00063,2023-10-01,PROD-009,20,4,16,False
SNAP-00064,2023-10-01,PROD-010,30,7,23,False
SNAP-00065,2023-10-01,PROD-011,31,4,27,False
SNAP-00066,2023-10-01,PROD-012,33,8,25,False
SNAP-00067,2023-10-01,PROD-013,46,9,37,False
SNAP-00068,2023-10-01,PROD-014,31,0,31,False
SNAP-00069,2023-10-01,PROD-015,47,7,40,False
SNAP-00070,2023-10-01,PROD-016,45,15,30,False
SNAP-00071,2023-10-01,PROD-017,16,3,13,False
SNAP-00072,2023-10-01,PROD-018,18,6,12,False
SNAP-00073,2023-10-15,PROD-001,18,3,15,False
SNAP-00074,2023-10-15,PROD-002,23,9,14,False
SNAP-00075,2023-10-15,PROD-003,19,4,15,False
SNAP-00076,2023-10-15,PROD-004,19,2,17,False
SNAP-00077,2023-10-15,PROD-005,11,2,9,False
SNAP-00078,2023-10-15,PROD-006,10,0,10,False
SNAP-00079,2023-10-15,PROD-007,5,0,5,True
SNAP-00080,2023-10-15,PROD-008,4,0,4,True
SNAP-00081,2023-10-15,PROD-009,24,0,24,False
SNAP-00082,2023-10-15,PROD-010,45,11,34,False
SNAP-00083,2023-10-15,PROD-011,24,1,23,False
SNAP-00084,2023-10-15,PROD-012,24,1,23,False
SNAP-00085,2023-10-15,PROD-013,51,19,32,False
SNAP-00086,2023-10-15,PROD-014,55,6,49,False
SNAP-00087,2023-10-15,PROD-015,65,14,51,False
SNAP-00088,2023-10-15,PROD-016,78,12,66,False
SNAP-00089,2023-10-15,PROD-017,19,4,15,False
SNAP-00090,2023-10-15,PROD-018,9,2,7,False
SNAP-00091,2023-11-01,PROD-001,27,0,27,False
SNAP-00092,2023-11-01,PROD-002,20,3,17,False
SNAP-00093,2023-11-01,PROD-003,15,3,12,False
SNAP-00094,2023-11-01,PROD-004,21,6,15,False
SNAP-00095,2023-11-01,PROD-005,11,2,9,False
SNAP-00096,2023-11-01,PROD-006,7,1,6,False
SNAP-00097,2023-11-01,PROD-007,2,0,2,True
SNAP-00098,2023-11-01,PROD-008,12,2,10,False
SNAP-00099,2023-11-01,PROD-009,23,1,22,False
SNAP-00100,2023-11-01,PROD-010,41,9,32,False
SNAP-00101,2023-11-01,PROD-011,26,6,20,False
SNAP-00102,2023-11-01,PROD-012,29,3,26,False
SNAP-00103,2023-11-01,PROD-013,64,1,63,False
SNAP-00104,2023-11-01,PROD-014,66,24,42,False
SNAP-00105,2023-11-01,PROD-015,51,19,32,False
SNAP-00106,2023-11-01,PROD-016,54,11,43,False
SNAP-00107,2023-11-01,PROD-017,11,0,11,False
SNAP-00108,2023-11-01,PROD-018,12,0,12,False
SNAP-00109,2023-11-15,PROD-001,30,4,26,False
SNAP-00110,2023-11-15,PROD-002,20,7,13,False
SNAP-00111,2023-11-15,PROD-003,24,4,20,False
SNAP-00112,2023-11-15,PROD-004,27,1,26,False
SNAP-00113,2023-11-15,PROD-005,10,1,9,False
SNAP-00114,2023-11-15,PROD-006,5,1,4,True
SNAP-00115,2023-11-15,PROD-007,10,1,9,False
SNAP-00116,2023-11-15,PROD-008,5,0,5,True
SNAP-00117,2023-11-15,PROD-009,30,4,26,False
SNAP-00118,2023-11-15,PROD-010,29,3,26,False
SNAP-00119,2023-11-15,PROD-011,38,2,36,False
SNAP-00120,2023-11-15,PROD-012,34,6,28,False
SNAP-00121,2023-11-15,PROD-013,61,7,54,False
SNAP-00122,2023-11-15,PROD-014,54,1,53,False
SNAP-00123,2023-11-15,PROD-015,63,22,41,False
SNAP-00124,2023-11-15,PROD-016,55,13,42,False
SNAP-00125,2023-11-15,PROD-017,19,3,16,False
SNAP-00126,2023-11-15,PROD-018,11,4,7,False
SNAP-00127,2023-12-01,PROD-001,27,7,20,False
SNAP-00128,2023-12-01,PROD-002,19,1,18,False
SNAP-00129,2023-12-01,PROD-003,20,4,16,False
SNAP-00130,2023-12-01,PROD-004,19,6,13,False
SNAP-00131,2023-12-01,PROD-005,22,4,18,False
SNAP-00132,2023-12-01,PROD-006,19,2,17,False
SNAP-00133,2023-12-01,PROD-007,28,0,28,False
SNAP-00134,2023-12-01,PROD-008,26,5,21,False
SNAP-00135,2023-12-01,PROD-009,38,14,24,False
SNAP-00136,2023-12-01,PROD-010,29,1,28,False
SNAP-00137,2023-12-01,PROD-011,20,3,17,False
SNAP-00138,2023-12-01,PROD-012,27,0,27,False
SNAP-00139,2023-12-01,PROD-013,58,14,44,False
SNAP-00140,2023-12-01,PROD-014,31,2,29,False
SNAP-00141,2023-12-01,PROD-015,90,16,74,False
SNAP-00142,2023-12-01,PROD-016,49,17,32,False
SNAP-00143,2023-12-01,PROD-017,15,2,13,False
SNAP-00144,2023-12-01,PROD-018,12,2,10,False
SNAP-00145,2023-12-15,PROD-001,25,4,21,False
SNAP-00146,2023-12-15,PROD-002,27,9,18,False
SNAP-00147,2023-12-15,PROD-003,30,8,22,False
SNAP-00148,2023-12-15,PROD-004,17,0,17,False
SNAP-00149,2023-12-15,PROD-005,23,5,18,False
SNAP-00150,2023-12-15,PROD-006,10,2,8,False
SNAP-00151,2023-12-15,PROD-007,22,7,15,False
SNAP-00152,2023-12-15,PROD-008,19,6,13,False
SNAP-00153,2023-12-15,PROD-009,32,5,27,False
SNAP-00154,2023-12-15,PROD-010,33,10,23,False
SNAP-00155,2023-12-15,PROD-011,23,2,21,False
SNAP-00156,2023-12-15,PROD-012,30,5,25,False
SNAP-00157,2023-12-15,PROD-013,52,9,43,False
SNAP-00158,2023-12-15,PROD-014,58,16,42,False
SNAP-00159,2023-12-15,PROD-015,50,12,38,False
SNAP-00160,2023-12-15,PROD-016,53,7,46,False
SNAP-00161,2023-12-15,PROD-017,8,0,8,False
SNAP-00162,2023-12-15,PROD-018,15,3,12,False
SNAP-00163,2024-01-01,PROD-001,18,3,15,False
SNAP-00164,2024-01-01,PROD-002,25,0,25,False
SNAP-00165,2024-01-01,PROD-003,25,6,19,False
SNAP-00166,2024-01-01,PROD-004,16,5,11,False
SNAP-00167,2024-01-01,PROD-005,21,4,17,False
SNAP-00168,2024-01-01,PROD-006,20,5,15,False
SNAP-00169,2024-01-01,PROD-007,16,1,15,False
SNAP-00170,2024-01-01,PROD-008,18,6,12,False
SNAP-00171,2024-01-01,PROD-009,30,3,27,False
SNAP-00172,2024-01-01,PROD-010,27,1,26,False
SNAP-00173,2024-01-01,PROD-011,18,6,12,False
SNAP-00174,2024-01-01,PROD-012,23,0,23,False
SNAP-00175,2024-01-01,PROD-013,59,19,40,False
SNAP-00176,2024-01-01,PROD-014,69,10,59,False
SNAP-00177,2024-01-01,PROD-015,54,15,39,False
SNAP-00178,2024-01-01,PROD-016,60,12,48,False
SNAP-00179,2024-01-01,PROD-017,15,0,15,False
SNAP-00180,2024-01-01,PROD-018,18,6,12,False
SNAP-00181,2024-02-01,PROD-001,16,0,16,False
SNAP-00182,2024-02-01,PROD-002,18,6,12,False
SNAP-00183,2024-02-01,PROD-003,22,1,21,False
SNAP-00184,2024-02-01,PROD-004,27,1,26,False
SNAP-00185,2024-02-01,PROD-005,18,5,13,False
SNAP-00186,2024-02-01,PROD-006,21,5,16,False
SNAP-00187,2024-02-01,PROD-007,17,0,17,False
SNAP-00188,2024-02-01,PROD-008,19,3,16,False
SNAP-00189,2024-02-01,PROD-009,35,10,25,False
SNAP-00190,2024-02-01,PROD-010,23,5,18,False
SNAP-00191,2024-02-01,PROD-011,27,1,26,False
SNAP-00192,2024-02-01,PROD-012,27,3,24,False
SNAP-00193,2024-02-01,PROD-013,59,2,57,False
SNAP-00194,2024-02-01,PROD-014,46,15,31,False
SNAP-00195,2024-02-01,PROD-015,70,12,58,False
SNAP-00196,2024-02-01,PROD-016,49,10,39,False
SNAP-00197,2024-02-01,PROD-017,15,1,14,False
SNAP-00198,2024-02-01,PROD-018,19,6,13,False
SNAP-00199,2024-03-01,PROD-001,22,3,19,False
SNAP-00200,2024-03-01,PROD-002,22,5,17,False
