line_id,order_id,product_id,quantity,unit_price,line_total
LINE-000001,ORD-00001,PROD-016,1,378.65,378.65
LINE-000002,ORD-00001,PROD-015,4,788.64,3154.56
LINE-000003,ORD-00001,PROD-005,1,2784.68,2784.68
LINE-000004,ORD-00002,PROD-015,1,785.36,785.36
LINE-000005,ORD-00002,PROD-007,1,1937.23,1937.23
LINE-000006,ORD-00002,PROD-002,2,4462.53,8925.06
LINE-000007,ORD-00002,PROD-014,6,416.51,2499.06
LINE-000008,ORD-00003,PROD-017,2,2084.18,4168.36
LINE-000009,ORD-00003,PROD-007,1,1897.61,1897.61
LINE-000010,ORD-00004,PROD-010,1,843.67,843.67
LINE-000011,ORD-00004,PROD-011,1,1594.86,1594.86
LINE-000012,ORD-00004,PROD-001,1,3260.17,3260.17
LINE-000013,ORD-00005,PROD-004,1,2608.14,2608.14
LINE-000014,ORD-00005,PROD-014,4,412.42,1649.68
LINE-000015,ORD-00005,PROD-003,1,1377.12,1377.12
LINE-000016,ORD-00005,PROD-003,2,1418.53,2837.06
LINE-000017,ORD-00006,PROD-014,1,417.1,417.1
LINE-000018,ORD-00006,PROD-012,1,992.2,992.2
LINE-000019,ORD-00007,PROD-004,1,2563.4,2563.4
LINE-000020,ORD-00007,PROD-013,4,656.89,2627.56
LINE-000021,ORD-00007,PROD-017,1,2137.92,2137.92
LINE-000022,ORD-00008,PROD-010,3,848.51,2545.53
LINE-000023,ORD-00009,PROD-004,6,2608.89,15653.34
LINE-000024,ORD-00009,PROD-013,6,642.99,3857.94
LINE-000025,ORD-00010,PROD-017,2,2113.01,4226.02
LINE-000026,ORD-00010,PROD-016,6,387.18,2323.08
LINE-000027,ORD-00011,PROD-012,1,982.77,982.77
LINE-000028,ORD-00012,PROD-011,1,1582.85,1582.85
LINE-000029,ORD-00012,PROD-002,2,4501.42,9002.84
LINE-000030,ORD-00013,PROD-003,1,1395.79,1395.79
LINE-000031,ORD-00013,PROD-007,1,1919.93,1919.93
LINE-000032,ORD-00014,PROD-005,4,2785.93,11143.72
LINE-000033,ORD-00014,PROD-007,10,1925.09,19250.9
LINE-000034,ORD-00014,PROD-016,2,373.38,746.76
LINE-000035,ORD-00015,PROD-014,6,422.03,2532.18
LINE-000036,ORD-00015,PROD-017,2,2110.64,4221.28
LINE-000037,ORD-00016,PROD-016,6,382.51,2295.06
LINE-000038,ORD-00016,PROD-017,1,2130.57,2130.57
LINE-000039,ORD-00016,PROD-006,1,2169.88,2169.88
LINE-000040,ORD-00017,PROD-008,1,3437.64,3437.64
LINE-000041,ORD-00017,PROD-015,2,777.01,1554.02
LINE-000042,ORD-00018,PROD-004,1,2563.54,2563.54
LINE-000043,ORD-00018,PROD-009,2,2421.23,4842.46
LINE-000044,ORD-00019,PROD-009,1,2427.37,2427.37
LINE-000045,ORD-00019,PROD-007,1,1891.07,1891.07
LINE-000046,ORD-00019,PROD-005,1,2831.84,2831.84
LINE-000047,ORD-00020,PROD-008,1,3452.65,3452.65
LINE-000048,ORD-00020,PROD-005,1,2808.05,2808.05
LINE-000049,ORD-00020,PROD-003,1,1376.79,1376.79
LINE-000050,ORD-00020,PROD-008,2,3556.97,7113.94
LINE-000051,ORD-00021,PROD-001,1,3225.02,3225.02
LINE-000052,ORD-00022,PROD-001,2,3203.88,6407.76
LINE-000053,ORD-00022,PROD-012,1,990.87,990.87
LINE-000054,ORD-00023,PROD-001,5,3230.13,16150.65
LINE-000055,ORD-00023,PROD-016,2,378.78,757.56
LINE-000056,ORD-00024,PROD-004,1,2622.75,2622.75
LINE-000057,ORD-00024,PROD-003,1,1417.4,1417.4
LINE-000058,ORD-00024,PROD-005,1,2789.25,2789.25
LINE-000059,ORD-00024,PROD-012,2,999.28,1998.56
LINE-000060,ORD-00025,PROD-004,1,2636.39,2636.39
LINE-000061,ORD-00025,PROD-013,4,650.14,2600.56
LINE-000062,ORD-00025,PROD-006,1,2219.26,2219.26
LINE-000063,ORD-00025,PROD-013,2,648.59,1297.18
LINE-000064,ORD-00026,PROD-007,6,1881.19,11287.14
