po_id,supplier_id,material_id,quantity,unit_cost,total_cost,order_date,expected_delivery,actual_delivery,status
PO-0908,SUP-007,MAT-022,88,17.47,1537.36,2023-07-03,2023-07-11,2023-07-12,delivered
PO-0055,SUP-001,MAT-003,22,459.3,10104.6,2023-07-03,2023-07-17,2023-07-17,delivered
PO-0311,SUP-002,MAT-007,148,64.24,9507.52,2023-07-03,2023-07-24,2023-07-24,delivered
PO-0349,SUP-002,MAT-007,165,67.77,11182.05,2023-07-03,2023-07-24,2023-07-25,delivered
PO-0717,SUP-005,MAT-017,1023,3.07,3140.61,2023-07-03,2023-07-10,2023-07-11,delivered
PO-0733,SUP-005,MAT-016,156,7.93,1237.08,2023-07-04,2023-07-10,2023-07-11,delivered
PO-0449,SUP-003,MAT-009,162,29.09,4712.58,2023-07-04,2023-07-14,2023-07-17,delivered
PO-0171,SUP-001,MAT-004,238,43.97,10464.86,2023-07-06,2023-07-20,2023-07-20,delivered
PO-1083,SUP-008,MAT-025,1376,1.97,2710.72,2023-07-06,2023-07-10,2023-07-11,delivered
PO-0222,SUP-002,MAT-006,60,76.56,4593.6,2023-07-10,2023-07-31,2023-07-31,delivered
PO-0663,SUP-004,MAT-012,30,180.39,5411.7,2023-07-10,2023-07-17,2023-07-18,delivered
PO-0517,SUP-004,MAT-012,45,176.68,7950.6,2023-07-10,2023-07-17,2023-07-17,delivered
PO-0619,SUP-004,MAT-011,46,120.74,5554.04,2023-07-10,2023-07-17,2023-07-17,delivered
PO-0972,SUP-007,MAT-022,113,17.46,1972.98,2023-07-10,2023-07-18,2023-07-19,delivered
PO-0378,SUP-003,MAT-008,236,32.43,7653.48,2023-07-10,2023-07-20,2023-07-20,delivered
PO-0616,SUP-004,MAT-013,60,61.89,3713.4,2023-07-10,2023-07-17,2023-07-18,delivered
PO-1171,SUP-008,MAT-023,569,6.65,3783.85,2023-07-11,2023-07-17,2023-07-17,delivered
PO-0654,SUP-004,MAT-012,38,171.65,6522.7,2023-07-11,2023-07-18,2023-07-19,delivered
PO-0949,SUP-007,MAT-022,148,17.75,2627.0,2023-07-12,2023-07-20,2023-07-20,delivered
PO-0185,SUP-001,MAT-003,23,466.65,10732.95,2023-07-12,2023-07-26,2023-07-27,delivered
PO-1025,SUP-008,MAT-024,178,15.03,2675.34,2023-07-12,2023-07-17,2023-07-17,delivered
PO-0206,SUP-002,MAT-006,106,76.69,8129.14,2023-07-12,2023-08-02,2023-08-02,delivered
PO-1111,SUP-008,MAT-023,717,6.2,4445.4,2023-07-13,2023-07-17,2023-07-18,delivered
PO-0560,SUP-004,MAT-011,60,116.56,6993.6,2023-07-13,2023-07-20,2023-07-20,delivered
PO-1098,SUP-008,MAT-024,150,14.29,2143.5,2023-07-13,2023-07-17,2023-07-18,delivered
PO-0359,SUP-002,MAT-005,127,99.29,12609.83,2023-07-14,2023-08-04,2023-08-07,delivered
PO-1089,SUP-008,MAT-024,142,14.85,2108.7,2023-07-14,2023-07-18,2023-07-19,delivered
PO-0270,SUP-002,MAT-006,73,80.58,5882.34,2023-07-14,2023-08-04,2023-08-04,delivered
PO-0574,SUP-004,MAT-013,71,65.34,4639.14,2023-07-17,2023-07-24,2023-07-24,delivered
PO-0342,SUP-002,MAT-006,104,75.35,7836.4,2023-07-17,2023-08-07,2023-08-08,delivered
PO-0291,SUP-002,MAT-007,143,63.76,9117.68,2023-07-17,2023-08-07,2023-08-07,delivered
PO-1153,SUP-008,MAT-023,830,6.62,5494.6,2023-07-17,2023-07-21,2023-07-24,delivered
PO-0741,SUP-005,MAT-017,702,3.13,2197.26,2023-07-17,2023-07-24,2023-07-24,delivered
PO-0555,SUP-004,MAT-011,52,123.66,6430.32,2023-07-17,2023-07-24,2023-07-24,delivered
PO-0038,SUP-001,MAT-001,20,832.73,16654.6,2023-07-18,2023-08-01,2023-08-02,delivered
PO-0538,SUP-004,MAT-013,89,63.08,5614.12,2023-07-18,2023-07-25,2023-07-26,delivered
PO-0990,SUP-007,MAT-020,213,21.62,4605.06,2023-07-19,2023-07-27,2023-07-27,delivered
PO-0714,SUP-005,MAT-016,125,8.25,1031.25,2023-07-20,2023-07-25,2023-07-25,delivered
PO-0511,SUP-004,MAT-012,47,180.19,8468.93,2023-07-21,2023-07-28,2023-07-28,delivered
PO-0030,SUP-001,MAT-004,225,46.11,10374.75,2023-07-21,2023-08-04,2023-08-04,delivered
PO-0848,SUP-006,MAT-018,95,52.91,5026.45,2023-07-21,2023-08-08,2023-08-08,delivered
PO-0625,SUP-004,MAT-013,106,63.49,6729.94,2023-07-24,2023-07-31,2023-08-09,delivered
PO-0889,SUP-007,MAT-021,115,28.66,3295.9,2023-07-24,2023-08-01,2023-08-02,delivered
PO-0153,SUP-001,MAT-001,22,838.32,18443.04,2023-07-24,2023-08-07,2023-08-07,delivered
PO-0596,SUP-004,MAT-012,49,175.38,8593.62,2023-07-24,2023-07-31,2023-07-31,delivered
PO-0723,SUP-005,MAT-017,723,3.14,2270.22,2023-07-24,2023-07-31,2023-07-31,delivered
PO-0823,SUP-006,MAT-018,87,55.47,4825.89,2023-07-24,2023-08-11,2023-08-11,delivered
PO-0264,SUP-002,MAT-007,122,62.68,7646.96,2023-07-25,2023-08-15,2023-08-16,delivered
PO-1196,SUP-008,MAT-025,1072,1.98,2122.56,2023-07-25,2023-07-31,2023-08-01,delivered
PO-0178,SUP-001,MAT-003,31,487.76,15120.56,2023-07-25,2023-08-08,2023-08-09,delivered
PO-0800,SUP-005,MAT-015,826,11.46,9465.96,2023-07-25,2023-07-31,2023-07-31,delivered
PO-0287,SUP-002,MAT-007,127,65.47,8314.69,2023-07-25,2023-08-15,2023-08-16,delivered
PO-0226,SUP-002,MAT-006,60,76.42,4585.2,2023-07-26,2023-08-16,2023-08-16,delivered
PO-0691,SUP-005,MAT-017,680,3.3,2244.0,2023-07-26,2023-07-31,2023-08-01,delivered
PO-1101,SUP-008,MAT-025,884,2.08,1838.72,2023-07-28,2023-08-01,2023-08-01,delivered
PO-0507,SUP-004,MAT-012,23,172.28,3962.44,2023-07-28,2023-08-04,2023-08-07,delivered
PO-0176,SUP-001,MAT-003,23,493.26,11344.98,2023-07-31,2023-08-14,2023-08-15,delivered
PO-0943,SUP-007,MAT-021,199,27.2,5412.8,2023-07-31,2023-08-08,2023-08-08,delivered
PO-0855,SUP-006,MAT-018,95,57.31,5444.45,2023-07-31,2023-08-18,2023-08-21,delivered
PO-1049,SUP-008,MAT-025,1159,1.98,2294.82,2023-07-31,2023-08-04,2023-08-04,delivered
PO-0191,SUP-001,MAT-001,52,823.94,42844.88,2023-07-31,2023-08-14,2023-08-14,delivered
PO-0002,SUP-001,MAT-004,276,44.21,12201.96,2023-07-31,2023-08-14,2023-08-25,delivered
PO-0523,SUP-004,MAT-012,51,174.84,8916.84,2023-08-01,2023-08-08,2023-08-09,delivered
PO-0248,SUP-002,MAT-006,90,75.26,6773.4,2023-08-02,2023-08-23,2023-08-24,delivered
PO-1060,SUP-008,MAT-023,274,6.81,1865.94,2023-08-04,2023-08-08,2023-08-08,delivered
PO-0581,SUP-004,MAT-012,60,188.8,11328.0,2023-08-07,2023-08-14,2023-08-15,delivered
PO-0922,SUP-007,MAT-022,95,18.42,1749.9,2023-08-07,2023-08-15,2023-08-15,delivered
PO-0699,SUP-005,MAT-017,1017,3.04,3091.68,2023-08-07,2023-08-14,2023-08-15,delivered
PO-0843,SUP-006,MAT-018,95,57.37,5450.15,2023-08-08,2023-08-28,2023-08-28,delivered
PO-0018,SUP-001,MAT-004,173,43.65,7551.45,2023-08-08,2023-08-22,2023-08-23,delivered
PO-0244,SUP-002,MAT-006,103,78.02,8036.06,2023-08-08,2023-08-29,2023-08-30,delivered
PO-0035,SUP-001,MAT-003,32,488.49,15631.68,2023-08-08,2023-08-22,2023-08-22,delivered
PO-0099,SUP-001,MAT-004,179,44.11,7895.69,2023-08-08,2023-08-22,2023-08-30,delivered
PO-0404,SUP-003,MAT-009,148,27.73,4104.04,2023-08-09,2023-08-21,2023-08-21,delivered
PO-0355,SUP-002,MAT-006,89,81.2,7226.8,2023-08-10,2023-08-31,2023-08-31,delivered
PO-0914,SUP-007,MAT-022,93,17.69,1645.17,2023-08-10,2023-08-18,2023-08-18,delivered
PO-0397,SUP-003,MAT-008,170,31.94,5429.8,2023-08-11,2023-08-21,2023-08-22,delivered
PO-0646,SUP-004,MAT-012,41,180.69,7408.29,2023-08-14,2023-08-21,2023-08-21,delivered
PO-1047,SUP-008,MAT-025,1271,2.01,2554.71,2023-08-14,2023-08-18,2023-08-21,delivered
PO-0247,SUP-002,MAT-006,97,78.13,7578.61,2023-08-14,2023-09-04,2023-09-04,delivered
PO-0060,SUP-001,MAT-003,33,491.63,16223.79,2023-08-14,2023-08-28,2023-08-28,delivered
PO-1058,SUP-008,MAT-025,1149,1.98,2275.02,2023-08-14,2023-08-18,2023-08-21,delivered
PO-0482,SUP-003,MAT-008,252,31.81,8016.12,2023-08-14,2023-08-24,2023-08-24,delivered
PO-0365,SUP-003,MAT-010,347,18.62,6461.14,2023-08-15,2023-08-25,2023-08-25,delivered
PO-1099,SUP-008,MAT-024,124,14.93,1851.32,2023-08-15,2023-08-21,2023-08-22,delivered
PO-1138,SUP-008,MAT-024,96,14.55,1396.8,2023-08-15,2023-08-21,2023-08-21,delivered
PO-0019,SUP-001,MAT-004,246,42.82,10533.72,2023-08-16,2023-08-30,2023-08-31,delivered
PO-0790,SUP-005,MAT-016,155,8.36,1295.8,2023-08-16,2023-08-21,2023-08-21,delivered
PO-0695,SUP-005,MAT-014,1049,4.41,4626.09,2023-08-17,2023-08-22,2023-08-22,delivered
PO-0058,SUP-001,MAT-003,36,459.19,16530.84,2023-08-17,2023-08-31,2023-09-01,delivered
PO-0652,SUP-004,MAT-011,50,125.59,6279.5,2023-08-18,2023-08-25,2023-08-28,delivered
PO-0766,SUP-005,MAT-014,1962,4.62,9064.44,2023-08-21,2023-08-28,2023-08-28,delivered
PO-0676,SUP-005,MAT-017,808,3.14,2537.12,2023-08-21,2023-08-28,2023-08-29,delivered
PO-0315,SUP-002,MAT-007,94,62.21,5847.74,2023-08-21,2023-09-11,2023-09-12,delivered
PO-0332,SUP-002,MAT-006,99,80.83,8002.17,2023-08-21,2023-09-11,2023-09-12,delivered
PO-0623,SUP-004,MAT-013,92,62.84,5781.28,2023-08-22,2023-08-29,2023-08-30,delivered
PO-0768,SUP-005,MAT-016,141,7.81,1101.21,2023-08-23,2023-08-28,2023-08-29,delivered
PO-1092,SUP-008,MAT-025,1142,1.93,2204.06,2023-08-23,2023-08-28,2023-08-29,delivered
