order_id,customer_id,order_date,channel,status,subtotal,discount_pct,total,shipping_cost,delivery_date,rating
ORD-00001,CUST-0597,2023-07-01,online,delivered,6317.89,1.6,6216.8,0.0,2023-07-14,
ORD-00002,CUST-0563,2023-07-01,showroom_1,delivered,14146.71,5.5,13368.64,0.0,2023-07-19,3.5
ORD-00003,CUST-0623,2023-07-02,showroom_3,delivered,6065.97,7.4,5617.09,0.0,2023-07-18,3.8
ORD-00004,CUST-0405,2023-07-02,online,delivered,5698.7,3.0,5527.74,0.0,2023-07-14,
ORD-00005,CUST-0360,2023-07-02,showroom_1,delivered,8472.0,8.3,7768.82,0.0,2023-07-19,4.0
ORD-00006,CUST-0487,2023-07-03,showroom_1,delivered,1409.3,4.0,1352.93,0.0,2023-07-15,4.5
ORD-00007,CUST-0765,2023-07-03,showroom_2,delivered,7328.88,4.0,7035.72,0.0,2023-07-10,4.2
ORD-00008,CUST-0027,2023-07-03,wholesale,returned,2545.53,7.3,2359.71,162.83,2023-07-23,3.9
ORD-00009,CUST-0045,2023-07-03,wholesale,delivered,19511.28,6.4,18262.56,152.81,2023-07-11,4.9
ORD-00010,CUST-0255,2023-07-03,showroom_1,delivered,6549.1,5.4,6195.45,0.0,2023-07-24,3.9
ORD-00011,CUST-0061,2023-07-03,online,delivered,982.77,5.8,925.77,74.17,2023-07-18,3.0
ORD-00012,CUST-0320,2023-07-04,showroom_2,delivered,10585.69,8.8,9654.15,0.0,2023-07-23,3.9
ORD-00013,CUST-0104,2023-07-04,showroom_2,delivered,3315.72,4.5,3166.51,0.0,2023-07-09,3.7
ORD-00014,CUST-0048,2023-07-04,wholesale,delivered,31141.38,4.3,29802.3,148.36,2023-07-11,
ORD-00015,CUST-0287,2023-07-04,showroom_2,delivered,6753.46,8.7,6165.91,0.0,2023-07-22,4.3
ORD-00016,CUST-0327,2023-07-04,showroom_2,delivered,6595.51,8.1,6061.27,0.0,2023-07-15,
ORD-00017,CUST-0340,2023-07-04,showroom_3,delivered,4991.66,12.1,4387.67,0.0,2023-07-23,3.3
ORD-00018,CUST-0133,2023-07-04,showroom_1,delivered,7406.0,4.3,7087.54,0.0,2023-07-13,4.2
ORD-00019,CUST-0155,2023-07-05,showroom_2,delivered,7150.28,8.7,6528.21,0.0,2023-07-14,
ORD-00020,CUST-0015,2023-07-05,showroom_1,returned,14751.43,5.6,13925.35,0.0,2023-07-14,4.6
ORD-00021,CUST-0791,2023-07-05,showroom_2,delivered,3225.02,7.9,2970.24,0.0,2023-07-25,4.4
ORD-00022,CUST-0077,2023-07-05,showroom_3,returned,7398.63,15.4,6259.24,0.0,2023-07-20,3.6
ORD-00023,CUST-0057,2023-07-05,wholesale,delivered,16908.21,5.1,16045.89,74.14,2023-07-18,3.9
ORD-00024,CUST-0588,2023-07-05,showroom_3,delivered,8827.96,12.5,7724.47,0.0,2023-07-26,3.1
ORD-00025,CUST-0347,2023-07-05,online,delivered,8753.39,3.4,8455.77,0.0,2023-07-15,
ORD-00026,CUST-0039,2023-07-06,wholesale,delivered,26591.05,7.5,24596.72,87.7,2023-07-18,
ORD-00027,CUST-0008,2023-07-06,wholesale,delivered,852.66,9.0,775.92,95.24,2023-07-18,3.6
ORD-00028,CUST-0607,2023-07-06,online,delivered,2062.74,5.6,1947.23,74.88,2023-07-22,4.1
ORD-00029,CUST-0032,2023-07-06,wholesale,delivered,10424.8,7.1,9684.64,221.23,2023-07-19,3.6
